Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",39.500000,-25.450000,90.000000,top
"C2","10uF","C_0805_2012Metric",36.500000,-25.450000,90.000000,top
"C3","1uF","C_0805_2012Metric",24.050000,-35.000000,180.000000,top
"C4","100nF","C_0805_2012Metric",78.000000,-22.365000,0.000000,top
"C5","100nF","C_0805_2012Metric",103.875000,-16.500000,0.000000,top
"J1","3V3 INPUT","PinHeader_1x02_P2.54mm_Vertical",20.000000,-22.500000,0.000000,top
"J2","3V3 UART","PinHeader_1x04_P2.54mm_Vertical",65.000000,-50.000000,0.000000,top
"J3","GPIO I2C SPI","PinHeader_1x06_P2.54mm_Vertical",78.020000,-32.000000,0.000000,top
"R1","10k","R_0805_2012Metric",24.070000,-32.000000,180.000000,top
"R2","10k","R_0805_2012Metric",82.470000,-41.000000,180.000000,top
"R3","4.7k","R_0805_2012Metric",78.000000,-19.000000,0.000000,top
"R4","4.7k","R_0805_2012Metric",78.000000,-28.000000,0.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",18.950000,-32.000000,0.000000,top
"SW2","BOOT","SW_SPST_B3U-1000P",87.550000,-41.000000,0.000000,top
"U1","ESP32-WROOM-32E-N4","ESP32-WROOM-32E",51.000000,-30.000000,0.000000,top
"U2","SHT31-DIS-B 0x44","SHT31-DIS_SensirionV7_MaskPaste",100.000000,-15.000000,0.000000,top
